experiment,model,text,shot,task,class_label,support,precision,recall,f1
gemma4_five_native,Gemma 4,native,five,Task A,Water quality / safety / public health,65,0.5454545454545454,0.36923076923076925,0.4403669724770642
gemma4_five_native,Gemma 4,native,five,Task A,Service disruption / repair / infrastructure,226,0.8454935622317596,0.8716814159292036,0.85838779956427
gemma4_five_native,Gemma 4,native,five,Task A,Water conservation / drought / demand management,140,0.7864077669902912,0.5785714285714286,0.6666666666666667
gemma4_five_native,Gemma 4,native,five,Task A,Flood / stormwater / wastewater / sewer,136,0.75,0.2647058823529412,0.39130434782608703
gemma4_five_native,Gemma 4,native,five,Task A,Environmental sustainability / waste / recycling / biodiversity,209,0.5165289256198347,0.5980861244019139,0.5543237250554323
gemma4_five_native,Gemma 4,native,five,Task A,Public education / heritage / community engagement,250,0.4978902953586498,0.472,0.48459958932238195
gemma4_five_native,Gemma 4,native,five,Task A,Routine / institutional / customer service / other,474,0.7331081081081081,0.4578059071729958,0.5636363636363636
gemma4_five_native,Gemma 4,native,five,Task B,Alert / warning,205,0.6666666666666666,0.00975609756097561,0.019230769230769232
gemma4_five_native,Gemma 4,native,five,Task B,Instruction / advice to public,164,0.5360824742268041,0.3170731707317073,0.3984674329501916
gemma4_five_native,Gemma 4,native,five,Task B,Operational update / resolution,21,0.0593607305936073,0.6190476190476191,0.10833333333333334
gemma4_five_native,Gemma 4,native,five,Task B,Reassurance / safety information,11,0.21428571428571427,0.2727272727272727,0.23999999999999996
gemma4_five_native,Gemma 4,native,five,Task B,Education / awareness,446,0.71900826446281,0.19506726457399104,0.30687830687830686
gemma4_five_native,Gemma 4,native,five,Task B,Institutional promotion / community news,638,0.609308885754584,0.677115987460815,0.6414253897550112
gemma4_five_native,Gemma 4,native,five,Task B,Other / unclear,15,0.225,0.6,0.3272727272727273
gemma4_five_native,Gemma 4,native,five,Task B.1,Risk / incident communication,401,0.7867867867867868,0.6533665835411472,0.7138964577656675
gemma4_five_native,Gemma 4,native,five,Task B.1,Education / awareness,446,0.71900826446281,0.19506726457399104,0.30687830687830686
gemma4_five_native,Gemma 4,native,five,Task B.1,Institutional / community communication,638,0.609308885754584,0.677115987460815,0.6414253897550112
gemma4_five_native,Gemma 4,native,five,Task B.1,Other / unclear,15,0.225,0.6,0.3272727272727273
gemma4_five_translated,Gemma 4,translated,five,Task A,Water quality / safety / public health,65,0.546875,0.5384615384615384,0.5426356589147288
gemma4_five_translated,Gemma 4,translated,five,Task A,Service disruption / repair / infrastructure,226,0.8617886178861789,0.9380530973451328,0.8983050847457628
gemma4_five_translated,Gemma 4,translated,five,Task A,Water conservation / drought / demand management,140,0.7946428571428571,0.6357142857142857,0.7063492063492063
gemma4_five_translated,Gemma 4,translated,five,Task A,Flood / stormwater / wastewater / sewer,136,0.7184466019417476,0.5441176470588235,0.6192468619246861
gemma4_five_translated,Gemma 4,translated,five,Task A,Environmental sustainability / waste / recycling / biodiversity,209,0.5034246575342466,0.7033492822966507,0.5868263473053893
gemma4_five_translated,Gemma 4,translated,five,Task A,Public education / heritage / community engagement,250,0.490272373540856,0.504,0.4970414201183432
gemma4_five_translated,Gemma 4,translated,five,Task A,Routine / institutional / customer service / other,474,0.7644628099173554,0.39029535864978904,0.5167597765363129
gemma4_five_translated,Gemma 4,translated,five,Task B,Alert / warning,205,0.6666666666666666,0.01951219512195122,0.037914691943127965
gemma4_five_translated,Gemma 4,translated,five,Task B,Instruction / advice to public,164,0.6352941176470588,0.32926829268292684,0.4337349397590361
gemma4_five_translated,Gemma 4,translated,five,Task B,Operational update / resolution,21,0.05761316872427984,0.6666666666666666,0.10606060606060606
gemma4_five_translated,Gemma 4,translated,five,Task B,Reassurance / safety information,11,0.1935483870967742,0.5454545454545454,0.2857142857142857
gemma4_five_translated,Gemma 4,translated,five,Task B,Education / awareness,446,0.7046979865771812,0.23542600896860988,0.35294117647058826
gemma4_five_translated,Gemma 4,translated,five,Task B,Institutional promotion / community news,638,0.5907335907335908,0.719435736677116,0.6487632508833924
gemma4_five_translated,Gemma 4,translated,five,Task B,Other / unclear,15,0.36,0.6,0.45
gemma4_five_translated,Gemma 4,translated,five,Task B.1,Risk / incident communication,401,0.7972602739726027,0.7256857855361596,0.7597911227154046
gemma4_five_translated,Gemma 4,translated,five,Task B.1,Education / awareness,446,0.7046979865771812,0.23542600896860988,0.35294117647058826
gemma4_five_translated,Gemma 4,translated,five,Task B.1,Institutional / community communication,638,0.5907335907335908,0.719435736677116,0.6487632508833924
